instant,dteday,season,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
102,2011-01-05,1,10,False,3,1,0.22,-17.668333333333337,0.37,0.3284,4,53,57
103,2011-01-05,1,11,False,3,1,0.26,-17.6515,0.33,0.3284,12,34,46
104,2011-01-05,1,12,False,3,1,0.26,-17.6515,0.33,0.3284,5,74,79
105,2011-01-05,1,13,False,3,1,0.28,-17.634666666666664,0.3,0.2985,6,65,71
106,2011-01-05,1,14,False,3,1,0.3,-17.617833333333333,0.28,0.194,10,52,62
107,2011-01-05,1,15,False,3,1,0.3,-17.617833333333333,0.28,0.194,7,55,62
108,2011-01-05,1,16,False,3,1,0.3,-17.601,0.28,0.0896,4,85,89
111,2011-01-05,1,19,False,3,1,0.24,-17.634666666666664,0.38,0.1045,5,127,132
112,2011-01-05,1,20,False,3,1,0.22,-17.6515,0.47,0.1642,7,82,89
113,2011-01-05,1,21,False,3,1,0.2,-17.668333333333337,0.51,0.194,3,40,43
114,2011-01-05,1,22,False,3,1,0.18,-17.668333333333337,0.55,0.1343,1,41,42
115,2011-01-05,1,23,False,3,1,0.2,-17.634666666666664,0.47,0.0,1,18,19
116,2011-01-06,1,0,False,4,1,0.18,-17.64311111111111,0.55,0.0,0,11,11
117,2011-01-06,1,1,False,4,1,0.16,-17.6515,0.64,0.0,0,4,4
118,2011-01-06,1,2,False,4,1,0.16,-17.6515,0.64,0.0,0,2,2
119,2011-01-06,1,4,False,4,2,0.16,-17.668333333333337,0.64,0.0896,0,1,1
120,2011-01-06,1,5,False,4,2,0.14,-17.67677777777778,0.69,0.0896,0,4,4
121,2011-01-06,1,6,False,4,2,0.14,-17.685166666666667,0.63,0.1045,0,36,36
122,2011-01-06,1,7,False,4,2,0.16,-17.6515,0.59,0.0,0,95,95
124,2011-01-06,1,9,False,4,2,0.18,-17.64311111111111,0.51,0.0,6,116,122
125,2011-01-06,1,10,False,4,1,0.2,-17.634666666666664,0.47,0.0,3,42,45
126,2011-01-06,1,11,False,4,1,0.22,-17.634666666666664,0.44,0.0896,2,57,59
127,2011-01-06,1,12,False,4,1,0.26,-17.617833333333333,0.35,0.0,6,78,84
128,2011-01-06,1,13,False,4,1,0.26,-17.62627777777778,0.35,0.1045,12,55,67
129,2011-01-06,1,14,False,4,1,0.28,-17.62627777777778,0.36,0.1642,11,59,70
130,2011-01-06,1,15,False,4,1,0.28,-17.62627777777778,0.36,0.0,8,54,62
131,2011-01-06,1,16,False,4,1,0.26,-17.634666666666664,0.38,0.1642,12,74,86
134,2011-01-06,1,19,False,4,1,0.22,-17.634666666666664,0.55,0.0896,3,109,112
135,2011-01-06,1,20,False,4,1,0.2,-17.659944444444445,0.51,0.1642,3,66,69
136,2011-01-06,1,21,False,4,2,0.22,-17.659944444444445,0.55,0.2239,0,48,48
137,2011-01-06,1,22,False,4,2,0.22,-17.659944444444445,0.51,0.2836,1,51,52
138,2011-01-06,1,23,False,4,2,0.2,-17.668333333333337,0.59,0.194,4,19,23
139,2011-01-07,1,0,False,5,2,0.2,-17.668333333333337,0.64,0.194,4,13,17
140,2011-01-07,1,1,False,5,2,0.2,-17.668333333333337,0.69,0.2239,2,5,7
141,2011-01-07,1,2,False,5,2,0.2,-17.668333333333337,0.69,0.2239,0,1,1
142,2011-01-07,1,4,False,5,2,0.2,-17.659944444444445,0.69,0.1343,0,1,1
143,2011-01-07,1,5,False,5,1,0.22,-17.62627777777778,0.55,0.0,0,5,5
144,2011-01-07,1,6,False,5,2,0.2,-17.634666666666664,0.69,0.0,8,26,34
145,2011-01-07,1,7,False,5,1,0.2,-17.659944444444445,0.69,0.1343,8,76,84
147,2011-01-07,1,9,False,5,1,0.2,-17.67677777777778,0.47,0.2985,9,125,134
150,2011-01-07,1,12,False,5,2,0.2,-17.668333333333337,0.37,0.2537,9,50,59
151,2011-01-07,1,13,False,5,2,0.2,-17.67677777777778,0.37,0.2836,9,64,73
152,2011-01-07,1,14,False,5,2,0.2,-17.668333333333337,0.4,0.2537,7,43,50
153,2011-01-07,1,15,False,5,2,0.2,-17.659944444444445,0.37,0.1642,9,63,72
154,2011-01-07,1,16,False,5,2,0.2,-17.659944444444445,0.37,0.1642,5,82,87
156,2011-01-07,1,18,False,5,1,0.2,-17.6515,0.4,0.0896,7,116,123
157,2011-01-07,1,19,False,5,1,0.16,-17.668333333333337,0.55,0.0896,3,92,95
158,2011-01-07,1,20,False,5,1,0.18,-17.659944444444445,0.47,0.1045,1,50,51
159,2011-01-07,1,21,False,5,1,0.18,-17.668333333333337,0.47,0.1343,0,39,39
160,2011-01-07,1,22,False,5,2,0.18,-17.668333333333337,0.43,0.1642,2,34,36
161,2011-01-07,1,23,False,5,2,0.18,-17.668333333333337,0.51,0.1642,1,14,15
162,2011-01-08,1,0,False,6,2,0.18,-17.668333333333337,0.51,0.1642,1,24,25
163,2011-01-08,1,1,False,6,2,0.18,-17.659944444444445,0.55,0.0896,1,15,16
164,2011-01-08,1,2,False,6,2,0.18,-17.64311111111111,0.55,0.0,3,13,16
165,2011-01-08,1,3,False,6,1,0.18,-17.668333333333337,0.55,0.1642,0,7,7
166,2011-01-08,1,4,False,6,1,0.18,-17.668333333333337,0.55,0.1642,0,1,1
167,2011-01-08,1,5,False,6,2,0.16,-17.685166666666667,0.74,0.1642,0,5,5
168,2011-01-08,1,6,False,6,2,0.16,-17.685166666666667,0.74,0.1642,0,2,2
169,2011-01-08,1,7,False,6,2,0.16,-17.67677777777778,0.74,0.1045,1,8,9
170,2011-01-08,1,8,False,6,1,0.16,-17.67677777777778,0.93,0.1045,0,15,15
171,2011-01-08,1,9,False,6,1,0.16,-17.67677777777778,0.93,0.1045,0,20,20
172,2011-01-08,1,10,False,6,2,0.18,-17.668333333333337,0.8,0.1642,5,56,61
173,2011-01-08,1,11,False,6,2,0.2,-17.67677777777778,0.69,0.3881,2,60,62
174,2011-01-08,1,12,False,6,2,0.2,-17.67677777777778,0.59,0.3582,8,90,98
175,2011-01-08,1,13,False,6,1,0.2,-17.67677777777778,0.44,0.3284,7,95,102
176,2011-01-08,1,14,False,6,1,0.2,-17.685166666666667,0.32,0.4925,12,83,95
177,2011-01-08,1,15,False,6,1,0.2,-17.685166666666667,0.32,0.4478,5,69,74
178,2011-01-08,1,16,False,6,1,0.18,-17.702,0.29,0.4478,8,68,76
179,2011-01-08,1,17,False,6,1,0.16,-17.710444444444445,0.37,0.0,5,64,69
180,2011-01-08,1,18,False,6,1,0.14,-17.710444444444445,0.39,0.2985,3,52,55
181,2011-01-08,1,19,False,6,1,0.14,-17.710444444444445,0.36,0.2537,4,26,30
182,2011-01-08,1,20,False,6,1,0.12,-17.710444444444445,0.36,0.2537,0,28,28
183,2011-01-08,1,21,False,6,1,0.12,-17.718833333333333,0.39,0.3582,2,35,37
184,2011-01-08,1,22,False,6,1,0.12,-17.718833333333333,0.36,0.3881,1,33,34
185,2011-01-08,1,23,False,6,1,0.1,-17.74411111111111,0.39,0.4478,0,22,22
186,2011-01-09,1,0,False,0,1,0.1,-17.735666666666663,0.42,0.3881,1,24,25
187,2011-01-09,1,1,False,0,1,0.1,-17.74411111111111,0.42,0.4627,0,12,12
188,2011-01-09,1,2,False,0,1,0.1,-17.74411111111111,0.46,0.4627,0,11,11
189,2011-01-09,1,3,False,0,1,0.1,-17.735666666666663,0.46,0.4179,0,4,4
190,2011-01-09,1,4,False,0,1,0.08,-17.72727777777778,0.53,0.194,0,1,1
191,2011-01-09,1,5,False,0,1,0.08,-17.72727777777778,0.53,0.194,0,1,1
192,2011-01-09,1,6,False,0,1,0.1,-17.72727777777778,0.49,0.2836,0,1,1
193,2011-01-09,1,7,False,0,1,0.08,-17.72727777777778,0.53,0.194,1,5,6
194,2011-01-09,1,8,False,0,1,0.1,-17.72727777777778,0.49,0.2836,0,10,10
195,2011-01-09,1,9,False,0,1,0.12,-17.735666666666663,0.46,0.5224,0,19,19
196,2011-01-09,1,10,False,0,1,0.14,-17.718833333333333,0.43,0.3881,0,49,49
197,2011-01-09,1,11,False,0,1,0.16,-17.710444444444445,0.4,0.5224,2,47,49
198,2011-01-09,1,12,False,0,1,0.18,-17.702,0.37,0.4478,4,79,83
199,2011-01-09,1,13,False,0,1,0.2,-17.685166666666667,0.34,0.4478,6,69,75
200,2011-01-09,1,14,False,0,1,0.22,-17.67677777777778,0.32,0.4627,8,64,72
201,2011-01-09,1,15,False,0,1,0.22,-17.668333333333337,0.35,0.3582,5,77,82
202,2011-01-09,1,16,False,0,1,0.2,-17.685166666666667,0.34,0.4478,0,79,92
203,2011-01-09,1,17,False,0,1,0.18,-17.69361111111111,0.37,0.3881,3,59,62
204,2011-01-09,1,18,False,0,1,0.16,-17.702,0.4,0.3284,4,44,48
205,2011-01-09,1,19,False,0,1,0.16,-17.702,0.43,0.3284,1,40,41
206,2011-01-09,1,20,False,0,1,0.14,-17.710444444444445,0.46,0.2537,0,38,38
207,2011-01-09,1,21,False,0,1,0.14,-17.718833333333333,0.46,0.4179,1,19,20
208,2011-01-09,1,22,False,0,1,0.14,-17.710444444444445,0.46,0.2985,5,10,15
209,2011-01-09,1,23,False,0,1,0.12,-17.702,0.5,0.194,0,6,6
210,2011-01-10,1,0,False,1,1,0.12,-17.710444444444445,0.5,0.2836,2,3,5
211,2011-01-10,1,1,False,1,1,0.12,-17.710444444444445,0.5,0.2836,1,0,1
212,2011-01-10,1,2,False,1,1,0.12,-17.710444444444445,0.5,0.2239,0,3,3
213,2011-01-10,1,3,False,1,1,0.12,-17.710444444444445,0.5,0.2239,0,1,1
214,2011-01-10,1,4,False,1,1,0.1,-17.710444444444445,0.54,0.1343,1,2,3
215,2011-01-10,1,5,False,1,1,0.1,-17.718833333333333,0.54,0.2537,0,3,3
216,2011-01-10,1,6,False,1,1,0.12,-17.710444444444445,0.5,0.2836,0,31,31
217,2011-01-10,1,7,False,1,1,0.12,-17.710444444444445,0.5,0.2239,2,75,77
219,2011-01-10,1,9,False,1,2,0.14,-17.710444444444445,0.5,0.2537,2,92,94
220,2011-01-10,1,10,False,1,2,0.14,-17.710444444444445,0.5,0.2985,0,31,31
221,2011-01-10,1,11,False,1,2,0.16,-17.702,0.47,0.2836,2,28,30
222,2011-01-10,1,12,False,1,2,0.2,-17.67677777777778,0.4,0.2836,5,47,52
223,2011-01-10,1,13,False,1,2,0.2,-17.67677777777778,0.4,0.2836,4,50,54
224,2011-01-10,1,14,False,1,2,0.2,-17.668333333333337,0.4,0.2239,0,47,47
225,2011-01-10,1,15,False,1,2,0.2,-17.668333333333337,0.4,0.2239,2,43,45
226,2011-01-10,1,16,False,1,1,0.2,-17.659944444444445,0.4,0.1343,4,70,74
228,2011-01-10,1,18,False,1,1,0.2,-17.668333333333337,0.4,0.2239,1,1,1
229,2011-01-10,1,19,False,1,1,0.16,-17.685166666666667,0.47,0.1642,3,92,95
230,2011-01-10,1,20,False,1,1,0.16,-17.685166666666667,0.5,0.1642,1,73,74
231,2011-01-10,1,21,False,1,1,0.14,-17.702,0.59,0.194,1,37,38
232,2011-01-10,1,22,False,1,1,0.14,-17.69361111111111,0.59,0.1642,2,22,24
233,2011-01-10,1,23,False,1,1,0.14,-17.69361111111111,0.59,0.1642,0,18,18
234,2011-01-11,1,0,False,2,1,0.14,-17.685166666666667,0.59,0.1045,2,10,12
235,2011-01-11,1,1,False,2,1,0.14,-17.69361111111111,0.59,0.1642,0,3,3
236,2011-01-11,1,2,False,2,2,0.16,-17.69361111111111,0.55,0.194,0,3,3
237,2011-01-11,1,5,False,2,2,0.16,-17.67677777777778,0.55,0.1343,0,6,6
238,2011-01-11,1,6,False,2,2,0.16,-17.67677777777778,0.55,0.1343,0,27,27
239,2011-01-11,1,7,False,2,2,0.16,-17.6515,0.55,0.0,2,97,99
241,2011-01-11,1,9,False,2,2,0.18,-17.668333333333337,0.51,0.1642,3,127,130
242,2011-01-11,1,10,False,2,2,0.2,-17.659944444444445,0.51,0.1642,3,51,54
243,2011-01-11,1,11,False,2,2,0.2,-17.659944444444445,0.47,0.1343,4,31,35
244,2011-01-11,1,12,False,2,2,0.2,-17.6515,0.51,0.1045,2,55,57
245,2011-01-11,1,13,False,2,2,0.2,-17.6515,0.59,0.0896,6,46,52
246,2011-01-11,1,14,False,2,2,0.2,-17.6515,0.59,0.0896,3,60,63
247,2011-01-11,1,15,False,2,2,0.16,-17.668333333333337,0.8,0.0896,2,45,47
248,2011-01-11,1,16,False,2,2,0.16,-17.69361111111111,0.86,0.2239,4,72,76
249,2011-01-11,1,17,False,2,2,0.16,-17.69361111111111,0.86,0.2239,6,130,136
250,2011-01-11,1,18,False,2,1,0.16,-17.67677777777778,0.93,0.1045,1,94,95
251,2011-01-11,1,19,False,2,1,0.16,-17.6515,0.93,0.0,0,51,51
252,2011-01-11,1,20,False,2,1,0.16,-17.69361111111111,0.93,0.194,0,32,32
253,2011-01-11,1,21,False,2,1,0.16,-17.668333333333337,0.86,0.0896,0,20,20
254,2011-01-11,1,22,False,2,1,0.16,-17.67677777777778,0.93,0.1045,1,28,29
255,2011-01-11,1,23,False,2,1,0.16,-17.668333333333337,0.93,0.0896,1,18,19
256,2011-01-12,1,0,False,3,2,0.16,-17.668333333333337,0.86,0.0896,0,7,7
257,2011-01-12,1,1,False,3,2,0.16,-17.67677777777778,0.86,0.1045,0,6,6
258,2011-01-12,1,2,False,3,1,0.14,-17.69361111111111,0.86,0.1343,0,1,1
259,2011-01-12,1,5,False,3,1,0.14,-17.69361111111111,0.86,0.1642,0,5,5
260,2011-01-12,1,6,False,3,1,0.12,-17.69361111111111,0.93,0.1343,0,16,16
261,2011-01-12,1,7,False,3,1,0.14,-17.69361111111111,0.69,0.1343,0,54,54
262,2011-01-12,1,8,False,3,1,0.16,-17.685166666666667,0.59,0.1642,3,125,128
263,2011-01-12,1,9,False,3,1,0.16,-17.702,0.59,0.3284,3,78,81
264,2011-01-12,1,10,False,3,1,0.18,-17.67677777777778,0.55,0.2239,0,39,39
265,2011-01-12,1,11,False,3,1,0.2,-17.67677777777778,0.51,0.3881,3,32,35
267,2011-01-12,1,13,False,3,1,0.22,-17.668333333333337,0.44,0.3582,0,49,49
268,2011-01-12,1,14,False,3,1,0.2,-17.67677777777778,0.47,0.3284,0,44,44
269,2011-01-12,1,15,False,3,1,0.2,-17.685166666666667,0.47,0.4179,1,48,49
270,2011-01-12,1,16,False,3,1,0.22,-17.668333333333337,0.44,0.3284,5,63,68
271,2011-01-12,1,17,False,3,1,0.2,-17.67677777777778,0.47,0.3582,0,139,139
272,2011-01-12,1,18,False,3,1,0.2,-17.69361111111111,0.47,0.5224,2,135,137
273,2011-01-12,1,19,False,3,1,0.18,-17.69361111111111,0.47,0.4179,1,82,83
274,2011-01-12,1,20,False,3,1,0.16,-17.702,0.5,0.3284,2,54,56
275,2011-01-12,1,21,False,3,1,0.16,-17.702,0.55,0.3284,0,57,57
276,2011-01-12,1,22,False,3,1,0.16,-17.710444444444445,0.55,0.4478,1,32,33
277,2011-01-12,1,23,False,3,1,0.14,-17.718833333333333,0.59,0.4179,1,19,20
278,2011-01-13,1,0,False,4,1,0.14,-17.710444444444445,0.59,0.2836,1,6,7
279,2011-01-13,1,1,False,4,1,0.14,-17.710444444444445,0.5,0.2836,0,2,2
280,2011-01-13,1,2,False,4,1,0.14,-17.710444444444445,0.5,0.3582,0,2,2
281,2011-01-13,1,3,False,4,1,0.14,-17.710444444444445,0.5,0.3284,0,3,3
282,2011-01-13,1,4,False,4,1,0.14,-17.710444444444445,0.5,0.2537,0,4,4
283,2011-01-13,1,5,False,4,1,0.14,-17.710444444444445,0.5,0.2985,0,3,3
284,2011-01-13,1,6,False,4,1,0.12,-17.69361111111111,0.54,0.1343,0,28,28
285,2011-01-13,1,7,False,4,1,0.12,-17.69361111111111,0.54,0.1343,0,72,72
287,2011-01-13,1,9,False,4,1,0.14,-17.710444444444445,0.5,0.3284,2,137,139
288,2011-01-13,1,10,False,4,2,0.16,-17.702,0.5,0.3582,2,36,38
289,2011-01-13,1,11,False,4,2,0.2,-17.685166666666667,0.44,0.4478,4,33,37
290,2011-01-13,1,12,False,4,1,0.2,-17.685166666666667,0.44,0.4179,3,49,52
291,2011-01-13,1,13,False,4,1,0.22,-17.668333333333337,0.41,0.4478,2,81,83
292,2011-01-13,1,14,False,4,1,0.22,-17.668333333333337,0.41,0.3881,3,39,42
293,2011-01-13,1,15,False,4,1,0.24,-17.659944444444445,0.38,0.2985,5,55,60
294,2011-01-13,1,16,False,4,1,0.24,-17.659944444444445,0.38,0.3582,2,76,78
296,2011-01-13,1,18,False,4,1,0.2,-17.67677777777778,0.4,0.3284,3,141,144
297,2011-01-13,1,19,False,4,1,0.16,-17.69361111111111,0.47,0.2537,1,98,99
298,2011-01-13,1,20,False,4,1,0.16,-17.69361111111111,0.47,0.2239,0,64,64
299,2011-01-13,1,21,False,4,1,0.14,-17.710444444444445,0.46,0.2985,0,40,40
300,2011-01-13,1,22,False,4,1,0.14,-17.710444444444445,0.46,0.3284,0,30,30
301,2011-01-13,1,23,False,4,1,0.12,-17.702,0.5,0.194,1,14,15
302,2011-01-14,1,0,False,5,1,0.12,-17.702,0.5,0.194,0,14,14
303,2011-01-14,1,1,False,5,1,0.1,-17.710444444444445,0.54,0.1642,0,5,5
304,2011-01-14,1,2,False,5,1,0.1,-17.710444444444445,0.54,0.1343,0,1,1
305,2011-01-14,1,3,False,5,1,0.1,-17.702,0.54,0.1045,0,1,1
306,2011-01-14,1,5,False,5,1,0.1,-17.702,0.54,0.0896,0,8,8
307,2011-01-14,1,6,False,5,1,0.1,-17.67677777777778,0.54,0.0,0,17,17
308,2011-01-14,1,7,False,5,1,0.1,-17.710444444444445,0.74,0.1642,0,70,70
310,2011-01-14,1,9,False,5,1,0.14,-17.69361111111111,0.69,0.1343,0,117,117
311,2011-01-14,1,10,False,5,1,0.18,-17.67677777777778,0.55,0.194,4,40,44
312,2011-01-14,1,11,False,5,1,0.18,-17.685166666666667,0.51,0.2836,6,47,53
313,2011-01-14,1,12,False,5,1,0.2,-17.668333333333337,0.44,0.2537,2,59,61
314,2011-01-14,1,13,False,5,1,0.22,-17.668333333333337,0.37,0.3881,4,73,77
315,2011-01-14,1,14,False,5,1,0.22,-17.659944444444445,0.41,0.2836,5,59,64
316,2011-01-14,1,15,False,5,1,0.24,-17.64311111111111,0.38,0.1642,9,59,68
317,2011-01-14,1,16,False,5,1,0.22,-17.64311111111111,0.41,0.1045,3,87,90
319,2011-01-14,1,18,False,5,1,0.2,-17.634666666666664,0.47,0.0,5,134,139
320,2011-01-14,1,19,False,5,1,0.16,-17.668333333333337,0.59,0.0896,3,89,92
321,2011-01-14,1,20,False,5,1,0.18,-17.64311111111111,0.59,0.0,0,68,68
322,2011-01-14,1,21,False,5,1,0.16,-17.6515,0.69,0.0,4,48,52
323,2011-01-14,1,22,False,5,2,0.16,-17.6515,0.69,0.0,2,34,36
324,2011-01-14,1,23,False,5,2,0.18,-17.64311111111111,0.55,0.0,1,26,27
325,2011-01-15,1,0,False,6,1,0.18,-17.64311111111111,0.55,0.0,3,25,28
326,2011-01-15,1,1,False,6,2,0.16,-17.668333333333337,0.59,0.0896,2,18,20
327,2011-01-15,1,2,False,6,2,0.16,-17.668333333333337,0.59,0.0896,0,12,12
328,2011-01-15,1,3,False,6,2,0.16,-17.6515,0.59,0.0,1,7,8
329,2011-01-15,1,4,False,6,2,0.16,-17.6515,0.59,0.0,0,5,5
330,2011-01-15,1,5,False,6,1,0.16,-17.6515,0.59,0.0,0,1,1
331,2011-01-15,1,6,False,6,1,0.14,-17.685166666666667,0.63,0.1045,1,2,3
332,2011-01-15,1,7,False,6,1,0.14,-17.659944444444445,0.63,0.0,1,9,10
333,2011-01-15,1,8,False,6,1,0.14,-17.69361111111111,0.63,0.1343,1,22,23
334,2011-01-15,1,9,False,6,1,0.16,-17.67677777777778,0.64,0.1343,2,31,33
335,2011-01-15,1,10,False,6,1,0.18,-17.668333333333337,0.59,0.1642,2,57,59
337,2011-01-15,1,12,False,6,1,0.24,-17.6515,0.48,0.2239,0,74,89
343,2011-01-15,1,18,False,6,2,0.3,-17.617833333333333,0.45,0.2537,0,69,84
344,2011-01-15,1,19,False,6,2,0.32,-17.609444444444442,0.39,0.2537,0,60,74
345,2011-01-15,1,20,False,6,2,0.32,-17.609444444444442,0.39,0.2537,6,35,41
346,2011-01-15,1,21,False,6,2,0.32,-17.609444444444442,0.39,0.2239,6,51,57
347,2011-01-15,1,22,False,6,2,0.3,-17.601,0.42,0.1045,0,26,26
348,2011-01-15,1,23,False,6,1,0.3,-17.617833333333333,0.45,0.2836,5,39,44
349,2011-01-16,1,0,False,0,1,0.26,-17.609444444444442,0.56,0.0,6,33,39
350,2011-01-16,1,1,False,0,1,0.26,-17.62627777777778,0.56,0.1343,4,19,23
351,2011-01-16,1,2,False,0,1,0.26,-17.617833333333333,0.56,0.0896,3,13,16
352,2011-01-16,1,3,False,0,1,0.22,-17.62627777777778,0.69,0.0,9,6,15
